winTotal,lossTotal,homeID,latitude,longitude
428,325,1,39.833851,-74.871826
335,373,2,40.650002,-73.949997
396,351,3,40.73061,-73.935242
410,342,4,39.952583,-75.165222
448,330,5,40.440624,-79.995888
415,339,6,42.361145,-71.057083
355,359,7,42.88023,-78.878738
385,356,8,45.516136,-73.65683
407,339,9,45.425533,-75.692482
371,354,10,43.653908,-79.384293
174,241,11,33.753746,-84.38633
360,362,12,35.787743,-78.64425
310,384,13,26.170077,-80.259542
414,336,14,27.964157,-82.452606
440,321,15,38.889931,-77.009003
421,332,16,41.881832,-87.623177
470,304,17,42.331429,-83.045753
419,318,18,36.174465,-86.76796
418,319,19,38.627003,-90.199402
379,339,20,51.04427,-114.062019
395,342,21,39.742043,-104.991531
337,374,22,53.631611,-113.323975
406,340,23,49.246292,-123.116226
448,317,24,33.835293,-117.914505
409,314,25,32.89748,-97.040443
391,345,26,34.052235,-118.243683
269,267,27,33.548264,-112.191696
454,313,28,37.279518,-121.867905
344,355,29,40.001633,-83.019707
392,327,30,44.949642,-93.093124
157,127,52,49.895077,-97.138451
69,99,53,33.548264,-112.191696
36,16,54,36.114647,-115.172813